,Date,Basic Materials,Communication Services,Consumer Cyclical,Consumer Defensive,Energy,Financial Services,Healthcare,Industrials,Real Estate,Technology,Utilities
2060,2018-03-12,93.22813110351562,87.66027145385742,183.40780008884897,67.54799524943034,51.50223280035931,93.90369431177776,124.82233713543604,106.9385151726859,79.7874517133159,91.37293492136774,43.13622550306649
2061,2018-03-13,92.9989107131958,86.32552089691163,183.22842797061853,67.56307808558147,51.29588985443115,93.10257413170554,124.38387970697312,106.64347684042794,80.27727093235139,90.71631622958827,43.22097636913431
2062,2018-03-14,91.7592267036438,86.15900578498841,181.7612836904693,66.96055036120944,51.06991780322531,92.27759406060883,123.9154112376864,105.81433304377964,80.59006491015035,90.60295739045014,43.57185623563569
2063,2018-03-15,90.99883937835693,86.04763584136963,181.19805411288613,66.60545084211562,50.613913411679476,92.3606489643906,123.81827227274577,105.94828863143921,80.66986745403659,90.62100915651064,43.61880841748468
2064,2018-03-16,91.20597105026245,85.88113975524902,182.0664912106698,66.85335514280531,51.279591353043266,92.84390422069666,123.8570105234782,106.63286696842738,81.19143473717475,90.68513091190441,44.10401867175924
2065,2018-03-19,89.89639854431152,83.74115743637086,181.94802993640565,66.3918064435323,50.2790878544683,92.0368603215073,122.18401536487397,106.0272589138576,80.41000630778652,89.48609894675178,43.785846151154615
2066,2018-03-20,89.38234176635743,83.3686288356781,181.20661009403696,66.43084176381429,50.99639386716096,92.52785610430169,122.3236972566635,106.64645392554146,80.39363759563815,90.24260569907524,43.59690159764783
2067,2018-03-21,90.34180307388306,83.1233790397644,181.7718086911921,65.43936734729343,52.47034728008768,92.41203050902395,121.71839795793805,106.66039916447231,79.69615674787953,90.33798641771884,43.46535702409415
2068,2018-03-22,87.61014957427979,81.32120027542115,177.82788211420961,64.75578429963853,51.51271994217582,89.42837439161359,118.6909072512672,103.39797419139317,79.35608076280162,87.9021907948159,43.58564955612709
2069,2018-03-23,86.66559963226318,79.48333201408386,175.37878265715483,64.03106890784369,51.21573091589886,87.21199658422759,116.0669057331388,102.05811545508249,77.95853648647186,85.58116778811893,43.0047978697152
2070,2018-03-26,88.24474449157715,81.69250292778015,179.4549604717054,65.14727311664157,52.277528721353285,89.79631506312977,118.99765916854616,104.60814086369106,79.13765332006639,88.39208271696761,43.46560159222833
